Street Pair,Distance (km),Time (minutes),Weight
 Alum Rock Ave - S 1st St,8.947322705086204,6.710492028814653,1.1776913510569715e-05
 Alum Rock Ave - S 3rd St,8.555623811274078,6.416717858455558,2.5897873276726634e-05
 Alum Rock Ave - S 7th St,8.75049580760101,6.562871855700758,1.151784010675483e-05
 Alum Rock Ave - S 8th St,7.64860525746268,5.73645394309701,1.0067476670135253e-05
 Alum Rock Ave - S Almaden Blvd,8.86725973464219,6.650444800981642,1.1671530625722781e-05
 Alum Rock Ave - S Bascom Ave,12.553101046105882,9.414825784579412,5.1207237442327416e-05
 Alum Rock Ave - S De Anza Blvd,21.07853043548566,15.808897826614245,2.7744615685708e-05
 Alum Rock Ave - S Genevieve Ln,13.798833677502039,10.349125258126529,1.8162714828012056e-05
 Alum Rock Ave - S Jackson Ave,4.076464551722924,3.0573484137921927,5.365646466205298e-06
 Alum Rock Ave - S King Rd,6.029300237094041,4.521975177820531,1.1901838668023638e-05
 Alum Rock Ave - S Valley Fwy N,5.027294802363465,3.7704711017725985,7.277009226421115e-06
 Alum Rock Ave - S Valley Fwy S,5.027294802363465,3.7704711017725985,6.61717678361091e-06
 Alum Rock Ave - S Winchester Blvd,14.924906820943772,11.193680115707828,0.0001040900313959671
 Alum Rock Ave - San Tomas Expy,15.30776689031143,11.480825167733574,2.014884816937242e-05
 Alum Rock Ave - Saratoga Ave,18.39509367012146,13.796320252591096,0.00027353964164812363
 Alum Rock Ave - Sherwood Ave,10.794392930423781,8.095794697817837,1.4208119694670303e-05
 Alum Rock Ave - Sinclair Fwy N,4.0445237914006364,3.0333928435504776,0.000261857637219495
 Alum Rock Ave - Sinclair Fwy S,6.400938040507324,4.800703530380493,2.2740932623412392e-05
 Alum Rock Ave - Southbay Fwy,12.71556591630394,9.536674437227955,1.673686363733506e-05
 Alum Rock Ave - Southwest Expy,11.88961883910737,8.917214129330528,1.5649710796975076e-05
 Alum Rock Ave - Spring St,9.320396630804812,6.990297473103609,1.2267972065296833e-05
 Alum Rock Ave - Stevens Creek Blvd,17.49174034632028,13.118805259740212,3.759849587441545e-05
 Alum Rock Ave - Story Rd,2.134918916740457,1.601189187555343,2.8100870241596267e-06
 Alum Rock Ave - Summer St,3.731639503983655,2.7987296279877416,4.9117704971184865e-06
 Alum Rock Ave - The Alameda,10.373847214694843,7.780385411021132,1.3654576396342085e-05
 Alum Rock Ave - Tortola Way,3.2341804780672025,2.4256353585504016,4.2569900542559545e-06
 Alum Rock Ave - Trimble Rd,10.84538947268796,8.13404210451597,1.4275243893425527e-05
 Alum Rock Ave - Tully Rd,9.058788409520675,6.794091307140507,1.1923630244031589e-05
 Alum Rock Ave - US-101,10.60544610065012,7.95408457548759,2.3257743298725712e-05
 Alum Rock Ave - US-101 N,17.347238296884356,13.010428722663267,0.0004025296542504789
 Alum Rock Ave - US-101 S,17.337649210025557,13.003236907519167,0.00010267355862177134
 Alum Rock Ave - W Alma Ave,9.45844289433127,7.093832170748453,1.2449675459663534e-05
 Alum Rock Ave - W San Carlos St,12.126828771767107,9.09512157882533,1.5961938370838452e-05
 Alum Rock Ave - W Virginia St,9.852359422183621,7.389269566637716,1.2968168089449191e-05
 Alum Rock Ave - Walnut Grove Ave,11.315533226459634,8.486649919844725,1.489407060932749e-05
 Alum Rock Ave - Water Witch Way,14.32514048257768,10.74385536193326,2.890097092360047e-05
 Alum Rock Ave - Woz Way,9.239108790524252,6.929331592893189,1.2160976945527546e-05
 Alum Rock Ave - Yerba Buena Rd,10.685815475603087,8.014361606702314,1.406520461976256e-05
 Alum Rock Ave - Zanker Rd,11.030464710754371,8.272848533065778,1.4518849175530439e-05
 Berryessa Rd -  Cherry Ave,13.045997718187758,9.784498288640819,5.146646099825071e-06
 Berryessa Rd -  Curtner Ave,11.93224472937648,8.94918354703236,2.0941089500055723e-06
 Berryessa Rd -  E Gish Rd,2.3582671070754406,1.7687003303065805,8.277517545834796e-07
 Berryessa Rd -  Montague Expy,6.087853759389986,4.56589031954249,7.990308059199356e-07
 Berryessa Rd -  Monterey Rd,14.872629248498807,11.154471936374106,5.220292866223082e-06
 Berryessa Rd -  N 1st St,7.189185062959275,5.3918887972194565,1.2617019785493529e-06
 Berryessa Rd -  N Bascom Ave,7.387344196632846,5.540508147474634,9.69588925808061e-07
 Berryessa Rd -  Oakland Rd,1.9921266911082702,1.4940950183312027,3.4961823428950144e-07
 Berryessa Rd -  O'Toole Ave,3.6444217966938575,2.733316347520393,6.395960253197721e-07
 Berryessa Rd -  Park Ave,6.53559047864529,4.901692858983967,8.577962503221942e-07
 Berryessa Rd -  Parkmoor Ave,8.302582945171354,6.226937208878516,2.185654960316359e-06
 Berryessa Rd -  S Bascom Ave,8.32587373664077,6.244405302480577,8.76714504468273e-06
 Berryessa Rd -  S Daniel Way,9.505052387253773,7.12878929044033,1.6681366939630373e-06
 Berryessa Rd -  Saratoga Ave,13.939632017402722,10.454724013052042,2.4464054190541778e-06
 Berryessa Rd -  Sierra Rd,6.85662150765325,5.142466130739938,1.2033370745931454e-06
 Berryessa Rd -  Stevens Creek Blvd,12.678934156268914,9.509200617201687,2.2251529444251947e-06
 Berryessa Rd -  Story Rd,5.937302176999744,4.452976632749808,1.0419965320634551e-06
 Berryessa Rd -  Terner Way,13.222716233980373,9.91703717548528,1.735481505709924e-06
 Berryessa Rd - 385A,4.2317205052489735,3.1737903789367303,5.554133163139278e-07
 Berryessa Rd - Airport Blvd,4.692596960986402,3.519447720739802,3.7059784499390112e-06
 Berryessa Rd - Akron Way,10.714302151393865,8.035726613545398,4.2267921987248796e-06
 Berryessa Rd - Almaden Expy,12.546689249567644,9.410016937175733,2.2019439632991216e-06
 Berryessa Rd - Alum Rock Ave,4.961614979879659,3.7212112349097444,6.746555968891367e-06
 Berryessa Rd - Auzerais Ave,7.081613237117529,5.311209927838147,9.294617373716756e-07
 Berryessa Rd - Barber Ln,5.33734744453632,4.00301058340224,1.4050567147741862e-06
